"locus_tag"	"symbol"	"gene_name"	"old_locus_tag"	"product"	"eggNOG_name"	"eggNOG_description"	"GO_component"	"GO_function"	"GO_process"	"eggNOG_GOs"	"KEGG_ko"	"KEGG_Pathway"	"KEGG_Module"	"KEGG_Reaction"	"KEGG_rclass"	"eggNOG_evalue"
"SPY_RS05250"	"SPy_1252"	"-"	"SPy_1252"	"DUF2130 domain-containing protein"	"XK27_04785"	"cog cog4487"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"4.64e-219"
"SPY_RS05255"	"yqjA"	"-"	"SPy_1253"	"aromatic acid exporter family protein"	"yqjA"	"membrane"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"4.5400000000000004e-215"
"SPY_RS05260"	"hsdS2"	"-"	"SPy_1254"	"restriction endonuclease subunit S"	"hsdS2"	"Type I restriction modification DNA specificity domain"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"1.65e-139"
"SPY_RS05265"	"SPy_1255"	"-"	"SPy_1255"	"FtsX-like permease family protein"	"-"	"ABC transporter (Permease"	"GO:0016020 - membrane [Evidence IEA]"	"-"	"-"	"-"	"ko:K02004"	"-"	"M00258"	"-"	"-"	"0.0"
"SPY_RS05270"	"SPy_1257"	"-"	"SPy_1257"	"ABC transporter ATP-binding protein"	"-"	"abc transporter atp-binding protein"	"-"	"-"	"-"	"-"	"ko:K02003"	"-"	"M00258"	"-"	"-"	"4.44e-159"
"SPY_RS05275"	"tetR"	"-"	"SPy_1258"	"TetR/AcrR family transcriptional regulator"	"tetR"	"Transcriptional regulator, TetR family"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"4.3e-124"
"SPY_RS05280"	"SPy_1259"	"-"	"SPy_1259"	"GntR family transcriptional regulator"	"-"	"Transcriptional"	"-"	"GO:0003700 - DNA-binding transcription factor activity [Evidence IEA]"	"GO:0006355 - regulation of DNA-templated transcription [Evidence IEA]"	"-"	"-"	"-"	"-"	"-"	"-"	"5.89e-145"
"SPY_RS05285"	"SPy_1260"	"-"	"SPy_1260"	"Asp23/Gls24 family envelope stress response protein"	"-"	"Protein conserved in bacteria"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"1.31e-98"
"SPY_RS05290"	"SPy_1261"	"-"	"SPy_1261"	"CsbD family protein"	"-"	"CsbD-like"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"3.2400000000000004e-36"
"SPY_RS05295"	"asp1"	"-"	"SPy_1262"	"Asp23/Gls24 family envelope stress response protein"	"asp1"	"Protein conserved in bacteria"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"9.299999999999999e-114"
"SPY_RS05300"	"SPy_1263"	"-"	"SPy_1263"	"DUF2273 domain-containing protein"	"-"	"Small integral membrane protein"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"4.79e-34"
"SPY_RS05305"	"amaP"	"amaP"	"SPy_1264"	"alkaline shock response membrane anchor protein AmaP"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"3.12e-131"
"SPY_RS05310"	"ytgB"	"-"	"SPy_1265"	"GlsB/YeaQ/YmgE family stress response membrane protein"	"ytgB"	"Membrane"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"2.07e-46"
"SPY_RS05315"	"pcrA"	"pcrA"	"SPy_1267"	"DNA helicase PcrA"	"pcrA"	"ATP-dependent DNA helicase"	"-"	"GO:0003678 - DNA helicase activity [Evidence IEA]"	"GO:0006268 - DNA unwinding involved in DNA replication [Evidence IEA] | GO:0006281 - DNA repair [Evidence IEA]"	"-"	"ko:K03657"	"ko03420,ko03430,map03420,map03430"	"-"	"-"	"-"	"0.0"
"SPY_RS05320"	"agcS"	"-"	"SPy_1270"	"sodium:alanine symporter family protein"	"agcS"	"(Alanine) symporter"	"-"	"-"	"-"	"-"	"ko:K03310"	"-"	"-"	"-"	"-"	"5.9499999999999995e-300"
"SPY_RS05325"	"yeaB"	"-"	"SPy_1272"	"cation diffusion facilitator family transporter"	"yeaB"	"Belongs to the cation diffusion facilitator (CDF) transporter (TC 2.A.4) family"	"GO:0016020 - membrane [Evidence IEA]"	"GO:0008324 - monoatomic cation transmembrane transporter activity [Evidence IEA] | GO:0015562 - efflux transmembrane transporter activity [Evidence IEA]"	"GO:0006812 - monoatomic cation transport [Evidence IEA]"	"-"	"-"	"-"	"-"	"-"	"-"	"4.1900000000000003e-283"
"SPY_RS05330"	"cfa"	"cfa"	"SPy_1273"	"CAMP factor pore-forming toxin Cfa"	"-"	"CAMP factor (Cfa)"	"-"	"-"	"-"	"-"	"ko:K11045"	"-"	"-"	"-"	"-"	"2.28e-173"
"SPY_RS05335"	"SPy_1274"	"-"	"SPy_1274"	"amino acid ABC transporter substrate-binding protein"	"-"	"Bacterial periplasmic substrate-binding proteins"	"-"	"-"	"-"	"-"	"ko:K02030"	"-"	"M00236"	"-"	"-"	"3.44e-199"
"SPY_RS05340"	"glnQ"	"-"	"SPy_1275"	"amino acid ABC transporter ATP-binding protein"	"glnQ"	"amino acid ABC transporter ATP-binding protein"	"-"	"-"	"-"	"-"	"ko:K02028"	"-"	"M00236"	"-"	"-"	"2.06e-143"
"SPY_RS05345"	"yecS_2"	"-"	"SPy_1276"	"amino acid ABC transporter permease"	"yecS_2"	"ABC-type amino acid transport system, permease component"	"-"	"-"	"-"	"-"	"ko:K02029,ko:K02030"	"-"	"M00236"	"-"	"-"	"1.12e-133"
"SPY_RS05350"	"phnA"	"-"	"SPy_1277"	"zinc ribbon domain-containing protein YjdM"	"phnA"	"Alkylphosphonate utilization operon protein PhnA"	"-"	"-"	"-"	"-"	"ko:K06193"	"ko01120,map01120"	"-"	"-"	"-"	"6.29e-77"
"SPY_RS05355"	"glmS"	"glmS"	"SPy_1280"	"glutamine--fructose-6-phosphate transaminase (isomerizing)"	"glmS"	"Catalyzes the first step in hexosamine metabolism, converting fructose-6P into glucosamine-6P using glutamine as a nitrogen source"	"-"	"GO:0004360 - glutamine-fructose-6-phosphate transaminase (isomerizing) activity [Evidence IEA]"	"GO:0006040 - amino sugar metabolic process [Evidence IEA] | GO:0009252 - peptidoglycan biosynthetic process [Evidence IEA]"	"GO:0003674,GO:0003824,GO:0004360,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006002,GO:0006040,GO:0006047,GO:0006139,GO:0006464,GO:0006486,GO:0006487,GO:0006725,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008483,GO:0009058,GO:0009059,GO:0009100,GO:0009101,GO:0009225,GO:0009987,GO:0016740,GO:0016769,GO:0019538,GO:0019637,GO:0034641,GO:0034645,GO:0036211,GO:0043170,GO:0043412,GO:0043413,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0055086,GO:0070085,GO:0070548,GO:0071704,GO:1901135,GO:1901137,GO:1901360,GO:1901564,GO:1901566,GO:1901576"	"ko:K00820"	"ko00250,ko00520,ko01100,ko01130,ko04931,map00250,map00520,map01100,map01130,map04931"	"-"	"R00768"	"RC00010,RC00163,RC02752"	"0.0"
"SPY_RS05360"	"lepB"	"lepB"	"SPy_1281"	"signal peptidase I"	"sipC"	"Belongs to the peptidase S26 family"	"-"	"GO:0004252 - serine-type endopeptidase activity [Evidence IEA]"	"GO:0006465 - signal peptide processing [Evidence IEA] | GO:0009306 - protein secretion [Evidence IEA]"	"-"	"ko:K03100"	"ko02024,ko03060,map02024,map03060"	"-"	"-"	"-"	"2.67e-125"
"SPY_RS05365"	"pyk"	"pyk"	"SPy_1282"	"pyruvate kinase"	"pyk"	"Belongs to the pyruvate kinase family"	"GO:0005737 - cytoplasm [Evidence IEA]"	"GO:0004743 - pyruvate kinase activity [Evidence IEA]"	"GO:0006096 - glycolytic process [Evidence IEA]"	"GO:0001871,GO:0003674,GO:0003824,GO:0004743,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0006082,GO:0006090,GO:0006091,GO:0006096,GO:0006116,GO:0006139,GO:0006163,GO:0006164,GO:0006165,GO:0006725,GO:0006732,GO:0006733,GO:0006734,GO:0006753,GO:0006754,GO:0006757,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009108,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009132,GO:0009135,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009166,GO:0009167,GO:0009168,GO:0009179,GO:0009185,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009986,GO:0009987,GO:0016052,GO:0016053,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0017144,GO:0018130,GO:0019359,GO:0019362,GO:0019363,GO:0019438,GO:0019439,GO:0019637,GO:0019674,GO:0019693,GO:0019752,GO:0030246,GO:0030247,GO:0032787,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0042866,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046031,GO:0046034,GO:0046390,GO:0046394,GO:0046434,GO:0046483,GO:0046496,GO:0046700,GO:0046939,GO:0051186,GO:0051188,GO:0055086,GO:0055114,GO:0071704,GO:0072330,GO:0072521,GO:0072522,GO:0072524,GO:0072525,GO:0090407,GO:1901135,GO:1901137,GO:1901292,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901566,GO:1901575,GO:1901576,GO:2001065"	"ko:K00873"	"ko00010,ko00230,ko00620,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko04922,ko04930,ko05165,ko05203,ko05230,map00010,map00230,map00620,map01100,map01110,map01120,map01130,map01200,map01230,map04922,map04930,map05165,map05203,map05230"	"M00001,M00002,M00049,M00050"	"R00200,R00430,R01138,R01858,R02320"	"RC00002,RC00015"	"0.0"
"SPY_RS05370"	"pfkA"	"pfkA"	"SPy_1283"	"6-phosphofructokinase"	"pfkA"	"Catalyzes the phosphorylation of D-fructose 6-phosphate to fructose 1,6-bisphosphate by ATP, the first committing step of glycolysis"	"-"	"-"	"GO:0006096 - glycolytic process [Evidence IEA]"	"GO:0003674,GO:0003824,GO:0003872,GO:0005975,GO:0006082,GO:0006090,GO:0006091,GO:0006096,GO:0006116,GO:0006139,GO:0006163,GO:0006164,GO:0006165,GO:0006725,GO:0006732,GO:0006733,GO:0006734,GO:0006753,GO:0006754,GO:0006757,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008443,GO:0009056,GO:0009058,GO:0009108,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009132,GO:0009135,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009166,GO:0009167,GO:0009168,GO:0009179,GO:0009185,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009987,GO:0016052,GO:0016053,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0017144,GO:0018130,GO:0019200,GO:0019359,GO:0019362,GO:0019363,GO:0019438,GO:0019439,GO:0019637,GO:0019674,GO:0019693,GO:0019752,GO:0032787,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0042866,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044262,GO:0044270,GO:0044271,GO:0044281,GO:0044283,GO:0046031,GO:0046034,GO:0046390,GO:0046394,GO:0046434,GO:0046483,GO:0046496,GO:0046700,GO:0046835,GO:0046939,GO:0051186,GO:0051188,GO:0055086,GO:0055114,GO:0061615,GO:0071704,GO:0072330,GO:0072521,GO:0072522,GO:0072524,GO:0072525,GO:0090407,GO:1901135,GO:1901137,GO:1901292,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901566,GO:1901575,GO:1901576"	"ko:K00850"	"ko00010,ko00030,ko00051,ko00052,ko00680,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko03018,ko04152,ko05230,map00010,map00030,map00051,map00052,map00680,map01100,map01110,map01120,map01130,map01200,map01230,map03018,map04152,map05230"	"M00001,M00345"	"R00756,R03236,R03237,R03238,R03239,R04779"	"RC00002,RC00017"	"5.719999999999999e-239"
"SPY_RS05375"	"dnaE"	"-"	"SPy_1284"	"DNA polymerase III subunit alpha"	"dnaE"	"DNA polymerase"	"-"	"GO:0003676 - nucleic acid binding [Evidence IEA] | GO:0008408 - 3'-5' exonuclease activity [Evidence IEA]"	"GO:0006260 - DNA replication [Evidence IEA]"	"-"	"ko:K02337"	"ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440"	"M00260"	"R00375,R00376,R00377,R00378"	"RC02795"	"0.0"
"SPY_RS05380"	"lexA"	"-"	"SPy_1285"	"GntR family transcriptional regulator"	"lexA"	"Transcriptional regulator"	"-"	"-"	"-"	"-"	"ko:K07979"	"-"	"-"	"-"	"-"	"1.9300000000000002e-79"
"SPY_RS05385"	"SPy_1286"	"-"	"SPy_1286"	"ABC transporter ATP-binding protein"	"-"	"abc transporter atp-binding protein"	"-"	"-"	"-"	"-"	"ko:K01990"	"-"	"M00254"	"-"	"-"	"3.0200000000000004e-161"
"SPY_RS05390"	"SPy_1287"	"-"	"SPy_1287"	"hypothetical protein"	"-"	"Psort location CytoplasmicMembrane, score"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"5.03e-163"
"SPY_RS05395"	"ydjZ"	"-"	"SPy_1288"	"TVP38/TMEM64 family protein"	"ydjZ"	"SNARE associated Golgi protein"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"1.77e-137"
"SPY_RS05405"	"SPy_1290"	"-"	"SPy_1290"	"DUF3862 domain-containing protein"	"-"	"Domain of Unknown Function with PDB structure (DUF3862)"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"3.18e-141"
"SPY_RS05410"	"glgP"	"glgP"	"SPy_1291"	"glycogen/starch/alpha-glucan family phosphorylase"	"glgP"	"Phosphorylase is an important allosteric enzyme in carbohydrate metabolism. Enzymes from different sources differ in their regulatory mechanisms and in their natural substrates. However, all known phosphorylases share catalytic and structural properties"	"-"	"GO:0004645 - 1,4-alpha-oligoglucan phosphorylase activity [Evidence IEA]"	"GO:0005977 - glycogen metabolic process [Evidence IEA]"	"-"	"ko:K00688"	"ko00500,ko01100,ko01110,ko02026,ko04217,ko04910,ko04922,ko04931,map00500,map01100,map01110,map02026,map04217,map04910,map04922,map04931"	"-"	"R02111"	"-"	"0.0"
"SPY_RS05415"	"malQ"	"malQ"	"SPy_1292"	"4-alpha-glucanotransferase"	"malQ"	"4-alpha-glucanotransferase"	"-"	"GO:0004134 - 4-alpha-glucanotransferase activity [Evidence IEA]"	"GO:0005980 - glycogen catabolic process [Evidence IEA]"	"-"	"ko:K00705"	"ko00500,ko01100,map00500,map01100"	"-"	"R05196"	"RC00049"	"0.0"
"SPY_RS05420"	"malR"	"-"	"SPy_1293"	"LacI family DNA-binding transcriptional regulator"	"malR"	"Transcriptional regulator"	"-"	"-"	"-"	"-"	"ko:K02529"	"-"	"-"	"-"	"-"	"1.57e-237"
"SPY_RS05425"	"malX"	"-"	"SPy_1294"	"extracellular solute-binding protein"	"malX"	"ABC transporter"	"-"	"-"	"-"	"-"	"ko:K15770"	"ko02010,map02010"	"M00491"	"-"	"-"	"1.95e-290"
"SPY_RS05430"	"malF"	"-"	"SPy_1295"	"sugar ABC transporter permease"	"malF"	"ABC transporter (Permease"	"-"	"-"	"-"	"-"	"ko:K15771"	"ko02010,map02010"	"M00491"	"-"	"-"	"0.0"
"SPY_RS05435"	"malG"	"-"	"SPy_1296"	"sugar ABC transporter permease"	"malG"	"ABC transporter (Permease"	"-"	"-"	"-"	"-"	"ko:K15772"	"ko02010,map02010"	"M00491"	"-"	"-"	"1.44e-191"
"SPY_RS05440"	"SPy_1297"	"-"	"SPy_1297"	"LacI family DNA-binding transcriptional regulator"	"-"	"helix_turn _helix lactose operon repressor"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"1.83e-167"
"SPY_RS05445"	"malA"	"-"	"SPy_1298"	"DUF1189 domain-containing protein"	"malA"	"maltodextrose utilization protein MalA"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"1.93e-182"
"SPY_RS05450"	"malD"	"-"	"SPy_1299"	"sugar ABC transporter permease"	"malD"	"ABC-type maltose transport systems, permease component"	"-"	"-"	"-"	"GO:0003674,GO:0003824,GO:0005215,GO:0005363,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0008150,GO:0008643,GO:0015144,GO:0015154,GO:0015157,GO:0015399,GO:0015405,GO:0015422,GO:0015423,GO:0015766,GO:0015768,GO:0015772,GO:0015774,GO:0016020,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0022804,GO:0022857,GO:0033036,GO:0033037,GO:0034219,GO:0042623,GO:0042626,GO:0042956,GO:0043211,GO:0043492,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071944"	"ko:K15772"	"ko02010,map02010"	"M00491"	"-"	"-"	"7.780000000000001e-200"
"SPY_RS05455"	"malC"	"-"	"SPy_1301"	"sugar ABC transporter permease"	"malC"	"ABC transporter (Permease"	"GO:0016020 - membrane [Evidence IEA]"	"-"	"GO:0055085 - transmembrane transport [Evidence IEA]"	"GO:0003674,GO:0003824,GO:0005215,GO:0005363,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0008150,GO:0008643,GO:0015144,GO:0015154,GO:0015157,GO:0015399,GO:0015405,GO:0015422,GO:0015423,GO:0015766,GO:0015768,GO:0015772,GO:0016020,GO:0016021,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0022804,GO:0022857,GO:0031224,GO:0031226,GO:0032991,GO:0034219,GO:0042623,GO:0042626,GO:0043190,GO:0043211,GO:0043492,GO:0044425,GO:0044459,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071944,GO:0098533,GO:0098796,GO:0098797,GO:1902494,GO:1902495,GO:1904949,GO:1990060,GO:1990351"	"ko:K15771"	"ko02010,map02010"	"M00491"	"-"	"-"	"5.310000000000001e-252"
"SPY_RS05460"	"amyA"	"amyA"	"SPy_1302"	"alpha-amylase AmyA"	"amyA"	"Belongs to the glycosyl hydrolase 13 family"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"0.0"
"SPY_RS05465"	"SPy_1304"	"-"	"SPy_1304"	"glycoside hydrolase family 13 protein"	"-"	"Belongs to the glycosyl hydrolase 13 family"	"-"	"-"	"-"	"-"	"ko:K01208"	"ko00500,ko01100,map00500,map01100"	"-"	"R02112,R03122,R11262"	"-"	"0.0"
"SPY_RS05470"	"mdxE"	"-"	"SPy_1306"	"extracellular solute-binding protein"	"mdxE"	"Bacterial extracellular solute-binding protein"	"-"	"-"	"-"	"-"	"ko:K02027,ko:K15770,ko:K17237"	"ko02010,map02010"	"M00207,M00491,M00599"	"-"	"-"	"6.27e-289"
"SPY_RS09405"	"SPY_RS09405"	"-"	"-"	"transposase"	"-"	"Transposase"	"-"	"-"	"-"	"-"	"ko:K07485"	"-"	"-"	"-"	"-"	"0.00045"
"SPY_RS05475"	"SPy_1308"	"-"	"SPy_1308"	"alpha/beta hydrolase"	"-"	"Esterase"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"5.929999999999999e-236"
"SPY_RS05480"	"dltD"	"dltD"	"SPy_1309"	"D-alanyl-lipoteichoic acid biosynthesis protein DltD"	"dltD"	"Protein involved in D-alanine esterification of lipoteichoic acid and wall teichoic acid (D-alanine transfer protein)"	"-"	"-"	"GO:0070394 - lipoteichoic acid metabolic process [Evidence IEA]"	"-"	"ko:K03740"	"ko01503,ko02020,ko05150,map01503,map02020,map05150"	"M00725"	"-"	"-"	"9.52e-303"
"SPY_RS05485"	"dltC"	"dltC"	"SPy_1310"	"D-alanine--poly(phosphoribitol) ligase subunit DltC"	"dltC"	"Carrier protein involved in the D-alanylation of lipoteichoic acid (LTA). The loading of thioester-linked D-alanine onto DltC is catalyzed by D-alanine--D-alanyl carrier protein ligase DltA. The DltC-carried D-alanyl group is further transferred to cell membrane phosphatidylglycerol (PG) by forming an ester bond, probably catalyzed by DltD. D-alanylation of LTA plays an important role in modulating the properties of the cell wall in Gram-positive bacteria, influencing the net charge of the cell wall"	"-"	"GO:0036370 - D-alanyl carrier activity [Evidence IEA]"	"GO:0019350 - teichoic acid biosynthetic process [Evidence IEA]"	"GO:0000270,GO:0003674,GO:0005215,GO:0006022,GO:0006023,GO:0006024,GO:0006807,GO:0006810,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009252,GO:0009273,GO:0009987,GO:0022857,GO:0030203,GO:0034645,GO:0042546,GO:0043170,GO:0044036,GO:0044038,GO:0044085,GO:0044237,GO:0044249,GO:0044260,GO:0051179,GO:0051234,GO:0055085,GO:0070589,GO:0071554,GO:0071704,GO:0071840,GO:1901135,GO:1901137,GO:1901564,GO:1901566,GO:1901576"	"ko:K14188"	"ko00473,ko01503,ko02020,ko05150,map00473,map01503,map02020,map05150"	"M00725"	"R02718"	"RC00037,RC00094"	"1.7299999999999997e-48"
"SPY_RS05490"	"dltB"	"dltB"	"SPy_1311"	"D-alanyl-lipoteichoic acid biosynthesis protein DltB"	"dltB"	"Membrane protein involved in D-alanine export"	"-"	"GO:0016746 - acyltransferase activity [Evidence IEA]"	"GO:0070395 - lipoteichoic acid biosynthetic process [Evidence IEA]"	"-"	"ko:K03739"	"ko01503,ko02020,ko05150,map01503,map02020,map05150"	"M00725"	"-"	"-"	"2.44e-306"
"SPY_RS05495"	"dltA"	"dltA"	"SPy_1312"	"D-alanine--poly(phosphoribitol) ligase subunit DltA"	"dltA"	"Catalyzes the first step in the D-alanylation of lipoteichoic acid (LTA), the activation of D-alanine and its transfer onto the D-alanyl carrier protein (Dcp) DltC. In an ATP- dependent two-step reaction, forms a high energy D-alanyl-AMP intermediate, followed by transfer of the D-alanyl residue as a thiol ester to the phosphopantheinyl prosthetic group of the Dcp. D-alanylation of LTA plays an important role in modulating the properties of the cell wall in Gram-positive bacteria, influencing the net charge of the cell wall"	"-"	"GO:0047473 - D-alanine [D-alanyl carrier protein] ligase activity [Evidence IEA]"	"GO:0019350 - teichoic acid biosynthetic process [Evidence IEA]"	"GO:0000166,GO:0000270,GO:0003674,GO:0003824,GO:0005215,GO:0005488,GO:0006022,GO:0006023,GO:0006024,GO:0006807,GO:0006810,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009252,GO:0009273,GO:0009987,GO:0016208,GO:0016874,GO:0016879,GO:0016881,GO:0017076,GO:0022857,GO:0030203,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0034645,GO:0036094,GO:0042546,GO:0043167,GO:0043168,GO:0043169,GO:0043170,GO:0044036,GO:0044038,GO:0044085,GO:0044237,GO:0044249,GO:0044260,GO:0051179,GO:0051234,GO:0055085,GO:0070589,GO:0071554,GO:0071704,GO:0071840,GO:0097159,GO:0097367,GO:1901135,GO:1901137,GO:1901265,GO:1901363,GO:1901564,GO:1901566,GO:1901576"	"ko:K03367"	"ko00473,ko01503,ko02020,ko05150,map00473,map01503,map02020,map05150"	"M00725"	"R02718"	"RC00037,RC00094"	"0.0"
"SPY_RS05500"	"SPY_RS05500"	"-"	"-"	"teichoic acid D-Ala incorporation-associated protein DltX"	"-"	"D-Ala-teichoic acid biosynthesis protein"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"2.78e-20"
"SPY_RS05505"	"uvrB"	"uvrB"	"SPy_1314"	"excinuclease ABC subunit UvrB"	"uvrB"	"damaged site, the DNA wraps around one UvrB monomer. DNA wrap is dependent on ATP binding by UvrB and probably causes local melting of the DNA helix, facilitating insertion of UvrB beta-hairpin between the DNA strands. Then UvrB probes one DNA strand for the presence of a lesion. If a lesion is found the UvrA subunits dissociate and the UvrB-DNA preincision complex is formed. This complex is subsequently bound by UvrC and the second UvrB is released. If no lesion is found, the DNA wraps around the other UvrB subunit that will check the other stand for damage"	"GO:0009380 - excinuclease repair complex [Evidence IEA]"	"GO:0009381 - excinuclease ABC activity [Evidence IEA]"	"GO:0006289 - nucleotide-excision repair [Evidence IEA]"	"-"	"ko:K03702"	"ko03420,map03420"	"-"	"-"	"-"	"0.0"
"SPY_RS05510"	"glnP"	"-"	"SPy_1315"	"ABC transporter substrate-binding protein/permease"	"glnP"	"ABC-type amino acid transport signal transduction systems periplasmic component domain"	"-"	"-"	"-"	"-"	"ko:K02029,ko:K02030,ko:K10036"	"ko02010,map02010"	"M00227,M00236"	"-"	"-"	"0.0"
"SPY_RS05515"	"glnQ"	"-"	"SPy_1316"	"amino acid ABC transporter ATP-binding protein"	"glnQ"	"abc transporter atp-binding protein"	"-"	"-"	"-"	"-"	"ko:K02028"	"-"	"M00236"	"-"	"-"	"1.69e-174"
"SPY_RS09230"	"SPY_RS09230"	"-"	"-"	"hypothetical protein"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"
"SPY_RS05520"	"chbC"	"-"	"SPy_1319"	"PTS transporter subunit EIIC"	"chbC"	"The phosphoenolpyruvate-dependent sugar phosphotransferase system (PTS), a major carbohydrate active - transport system, catalyzes the phosphorylation of incoming sugar substrates concomitant with their translocation across the cell membrane"	"GO:0016020 - membrane [Evidence IEA]"	"GO:0008982 - protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [Evidence IEA]"	"GO:0009401 - phosphoenolpyruvate-dependent sugar phosphotransferase system [Evidence IEA]"	"-"	"ko:K02761"	"ko00500,ko02060,map00500,map02060"	"M00275"	"R11170,R11172"	"RC00017,RC03206"	"6.66e-120"
"SPY_RS05525"	"SPy_1322"	"-"	"SPy_1322"	"DUF3284 domain-containing protein"	"-"	"Domain of unknown function (DUF3284)"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"1.16e-97"
"SPY_RS05530"	"SPy_1323"	"-"	"SPy_1323"	"PTS lactose/cellobiose transporter subunit IIA"	"-"	"Phosphotransferase system cellobiose-specific component IIA"	"-"	"-"	"-"	"-"	"ko:K02759"	"ko00500,ko02060,map00500,map02060"	"M00275"	"R11170,R11172"	"RC00017,RC03206"	"2.78e-71"
